# Description: This file contains daily mean 2m temperature data from ERA5 averaged over the entire globe (0–360°E, 90°S–90°N) from 1940 to 2024, as well as estimates of the daily temperature anomaly relative to the 1991-2020 reference period and the increase above the preindustrial level (1850-1900).
# Method: The general method used to estimate the change relative to predindustrial is described in the following web article: https://climate.copernicus.eu/tracking-breaches-150c-global-warming-threshold.
# Data source: The original gridded ERA5 hourly data used to generate the time series can be downloaded from the C3S Climate Data Store (CDS) at https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
# Data availability: The ERA5 data available in the CDS are updated up to 5 days behind real-time. Note that the time series below includes values based on pre-release data not yet available in the CDS.
# Final vs preliminary data: The last value in the time series may be preliminary in which case it will likely change (slightly) once the final data for the day are available (typically 3 days behind real-time). The difference between the preliminary and final values is generally very small.
# Columns:
#  temp: Daily mean absolute temperature based on hourly values from 00 to 23 UTC
#  clim_91-20: Daily temperature climatology for 1991-2020
#  ano_91-20: Daily temperature anomaly relative to 1991-2020
#  offset_pi: Daily offset between the 1850-1900 average and the 1991-2020 average
#  ano_pi: Best estimate of the temperature change relative to preindustrial level (1850-1900). ano_pi = ano_91-20 + offset_pi
#  status: Status of the daily average temperature (preliminary or final)
# Units: deg. C
# Last updated: 06 Mar 2024
date,temp,clim_91-20,ano_91-20,offset_pi,ano_pi,status
1940-01-01,11.72,12.48,-0.76,0.95,0.19,FINAL
1940-01-02,11.66,12.47,-0.81,0.95,0.14,FINAL
1940-01-03,11.66,12.47,-0.80,0.95,0.15,FINAL
1940-01-04,11.68,12.46,-0.78,0.95,0.17,FINAL
1940-01-05,11.60,12.45,-0.85,0.95,0.10,FINAL
1940-01-06,11.52,12.45,-0.93,0.95,0.03,FINAL
1940-01-07,11.50,12.44,-0.94,0.96,0.01,FINAL
1940-01-08,11.45,12.44,-0.98,0.96,-0.02,FINAL
1940-01-09,11.35,12.43,-1.08,0.96,-0.12,FINAL
1940-01-10,11.35,12.43,-1.07,0.96,-0.12,FINAL
1940-01-11,11.41,12.42,-1.01,0.96,-0.06,FINAL
1940-01-12,11.46,12.42,-0.96,0.96,-0.01,FINAL
1940-01-13,11.57,12.42,-0.84,0.96,0.11,FINAL
1940-01-14,11.59,12.42,-0.83,0.96,0.13,FINAL
1940-01-15,11.52,12.42,-0.90,0.96,0.06,FINAL
1940-01-16,11.47,12.42,-0.94,0.96,0.02,FINAL
1940-01-17,11.48,12.42,-0.94,0.96,0.03,FINAL
1940-01-18,11.53,12.42,-0.89,0.96,0.07,FINAL
1940-01-19,11.52,12.42,-0.90,0.96,0.06,FINAL
1940-01-20,11.52,12.42,-0.91,0.96,0.06,FINAL
1940-01-21,11.49,12.43,-0.94,0.96,0.02,FINAL
1940-01-22,11.48,12.43,-0.95,0.96,0.01,FINAL
1940-01-23,11.46,12.44,-0.98,0.96,-0.01,FINAL
1940-01-24,11.39,12.44,-1.05,0.96,-0.09,FINAL
1940-01-25,11.34,12.45,-1.10,0.96,-0.14,FINAL
1940-01-26,11.38,12.46,-1.08,0.96,-0.12,FINAL
1940-01-27,11.42,12.46,-1.04,0.96,-0.08,FINAL
1940-01-28,11.45,12.47,-1.02,0.97,-0.06,FINAL
1940-01-29,11.44,12.48,-1.04,0.97,-0.08,FINAL
1940-01-30,11.50,12.49,-0.99,0.97,-0.03,FINAL
1940-01-31,11.50,12.50,-1.01,0.97,-0.04,FINAL
1940-02-01,11.50,12.51,-1.01,0.97,-0.05,FINAL
1940-02-02,11.50,12.53,-1.02,0.97,-0.06,FINAL
1940-02-03,11.45,12.54,-1.09,0.97,-0.12,FINAL
1940-02-04,11.51,12.55,-1.04,0.97,-0.07,FINAL
