"UKPRN","HE.provider","date","Open.ended.Permanent","Fixed.term","Total.academic.staff","Total","Total.European.Union","Total_nonuk","ratio_permanent","ratio_casual","prop_permanent","prop_casual","staffstudent_ratio","prop_non_uk","prop_eu","latest_prop_casual_2022"
10007783,"The University of Aberdeen","2014-2015",1625,40,1665,14035,2455,3970,40.625,0.0246153846153846,97.5975975975976,2.4024024024024,8.63692307692308,28,17,9.87654320987654
10007849,"University of Abertay Dundee","2014-2015",195,15,210,NA,NA,NA,13,0.0769230769230769,92.8571428571429,7.14285714285714,NA,NA,NA,NA
10007856,"Aberystwyth University","2014-2015",550,390,940,9835,765,1375,1.41025641025641,0.709090909090909,58.5106382978723,41.4893617021277,17.8818181818182,14,8,31.4285714285714
10000291,"Anglia Ruskin University","2014-2015",710,70,780,19830,835,2720,10.1428571428571,0.0985915492957746,91.025641025641,8.97435897435897,27.9295774647887,14,4,7.60869565217391
10007759,"Aston University","2014-2015",410,250,660,11070,755,2530,1.64,0.609756097560976,62.1212121212121,37.8787878787879,27,23,7,24.7368421052632
10007857,"Bangor University","2014-2015",570,475,1045,10765,385,2295,1.2,0.833333333333333,54.5454545454545,45.4545454545455,18.8859649122807,21,4,45.1086956521739
10000571,"Bath Spa University","2014-2015",290,280,570,7380,190,755,1.03571428571429,0.96551724137931,50.8771929824561,49.1228070175439,25.448275862069,10,3,35.2
10007850,"The University of Bath","2014-2015",760,525,1285,15570,1440,4510,1.44761904761905,0.690789473684211,59.1439688715953,40.8560311284047,20.4868421052632,29,9,37.3770491803279
10007152,"University of Bedfordshire","2014-2015",565,115,680,15655,695,3360,4.91304347826087,0.20353982300885,83.0882352941177,16.9117647058824,27.7079646017699,21,4,12.962962962963
10005343,"The Queen's University of Belfast","2014-2015",1100,600,1705,NA,NA,NA,1.83333333333333,0.545454545454545,64.5161290322581,35.1906158357771,NA,NA,NA,NA
10007760,"Birkbeck College","2014-2015",640,325,965,13935,720,1435,1.96923076923077,0.5078125,66.3212435233161,33.6787564766839,21.7734375,10,5,41.8269230769231
10007140,"Birmingham City University","2014-2015",1510,70,1580,23335,660,2795,21.5714285714286,0.0463576158940397,95.5696202531646,4.43037974683544,15.453642384106,12,3,39.2592592592593
10006840,"The University of Birmingham","2014-2015",1825,1685,3510,34160,1455,8295,1.08308605341246,0.923287671232877,51.994301994302,48.005698005698,18.7178082191781,24,4,44.2682926829268
10000712,"University College Birmingham","2014-2015",285,5,290,4855,465,1175,57,0.0175438596491228,98.2758620689655,1.72413793103448,17.0350877192982,24,10,4.44444444444444
10007811,"Bishop Grosseteste University","2014-2015",65,15,80,2290,5,5,4.33333333333333,0.230769230769231,81.25,18.75,35.2307692307692,0,0,18.5185185185185
10006841,"The University of Bolton","2014-2015",275,30,305,6385,190,540,9.16666666666667,0.109090909090909,90.1639344262295,9.83606557377049,23.2181818181818,8,3,7.52688172043011
10000385,"The Arts University Bournemouth","2014-2015",315,10,325,2955,175,430,31.5,0.0317460317460317,96.9230769230769,3.07692307692308,9.38095238095238,15,6,3.79746835443038
