LDC,Adaptation,UAE framework depends on climate finance,Priority
LDC,Adaptation,Doubling adaptation finance by 2025,Priority
EU,Adaptation,Use existing indicators where possible,Priority
EU,Adaptation,Qualitatitive and quantitative indicators,Support
AOSIS,Adaptation,Create SIDS working group,High priority
AOSIS,Adaptation,Special treatment for SIDS,High priority
AOSIS,Adaptation,Qualitatitive and quantitative indicators,High priority
AOSIS,Adaptation,Avoid reporting burdens,Priority
Canada,Adaptation,Use Indigenous and Western knowledge,High priority
LDC,Article 6,Conclude rules at COP29,Priority
LDC,Article 6,Maintain "environmental integrity",Priority
EU,Article 6,Conclude rules at COP29,Priority
Philippines,Finance (NCQG),Define climate finance,Priority
Philippines,Finance (NCQG),Reference to Article 2.1c,Priority
Philippines,Finance (NCQG),Based on the needs of developing countries,Priority
African Group,Finance (NCQG),Includes loss and damage finance,High priority
African Group,Finance (NCQG),Principles of equity and CBDR are covered,High priority
African Group,Finance (NCQG),Based on the needs of developing countries,Priority
African Group,Finance (NCQG),Climate finance largely delivered as grants or concessional loans,Priority
African Group,Finance (NCQG),Expand contributor base beyond developed countries,Oppose
African Group,Finance (NCQG),Climate finance aligned with NDCs and other national plans,High priority
African Group,Finance (NCQG),All developing countries can access,High priority
African Group,Finance (NCQG),Five-year goal, then review,High priority
African Group,Finance (NCQG),Ten-year goal,Oppose
African Group,Finance (NCQG),Reference to Article 2.1c,Oppose
African Group,Finance (NCQG),Emphasise role of MDBs,Support
African Group,Finance (NCQG),Importance of enhanced transparency framework in reporting finance,Priority
Arab Group,Finance (NCQG),Expand contributor base beyond developed countries,Oppose
Arab Group,Finance (NCQG),Principles of equity and CBDR are covered,High priority
Arab Group,Finance (NCQG),Five-year goal, then review,High priority
Arab Group,Finance (NCQG),Ten-year goal,Oppose
Arab Group,Finance (NCQG),Includes loss and damage finance,High priority
Arab Group,Finance (NCQG),At least $1tn mobilised per year by developed countries,High priority
Arab Group,Finance (NCQG),Developed countries pay $100bn arrears,High priority
Arab Group,Finance (NCQG),Climate finance largely delivered as grants or concessional loans,High priority
Arab Group,Finance (NCQG),Climate finance aligned with NDCs and other national plans,High priority
Arab Group,Finance (NCQG),Improved access to climate finance,Priority
Arab Group,Finance (NCQG),All developing countries can access,Priority
Arab Group,Finance (NCQG),No 'double counting' with other aid,Priority
Arab Group,Finance (NCQG),Reference to Article 2.1c,Oppose
Arab Group,Finance (NCQG),Includes domestic resource mobilisation,Oppose
Arab Group,Finance (NCQG),Includes a mix of public finance and other sources,Support
Arab Group,Finance (NCQG),Based on the needs of developing countries,Priority
EU,Finance (NCQG),Reference to Article 2.1c,Priority
EU,Finance (NCQG),Reform international financial architecture,Priority
EU,Finance (NCQG),Expand contributor base beyond developed countries,High priority
EU,Finance (NCQG),Ten-year goal,Priority
