Country,Date,Policy_rate,Annual_change_in_CPI
"UK","2020-02-01",0.75,1.71
"UK","2020-03-01",0.1,1.523
"UK","2020-04-01",0.1,0.767
"UK","2020-05-01",0.1,0.48
"UK","2020-06-01",0.1,0.603
"UK","2020-07-01",0.1,1.04
"UK","2020-08-01",0.1,0.22
"UK","2020-09-01",0.1,0.532
"UK","2020-10-01",0.1,0.697
"UK","2020-11-01",0.1,0.315
"UK","2020-12-01",0.1,0.589
"UK","2021-01-01",0.1,0.701
"UK","2021-02-01",0.1,0.414
"UK","2021-03-01",0.1,0.714
"UK","2021-04-01",0.1,1.526
"UK","2021-05-01",0.1,2.115
"UK","2021-06-01",0.1,2.514
"UK","2021-07-01",0.1,2.04
"UK","2021-08-01",0.1,3.197
"UK","2021-09-01",0.1,3.08
"UK","2021-10-01",0.1,4.206
"UK","2021-11-01",0.1,5.13
"UK","2021-12-01",0.25,5.386
"UK","2022-01-01",0.25,5.456
"UK","2022-02-01",0.5,6.177
"UK","2022-03-01",0.75,7.023
"UK","2022-04-01",0.75,9.011
"UK","2022-05-01",1,9.083
"UK","2022-06-01",1.25,9.412
"UK","2022-07-01",1.25,10.101
"UK","2022-08-01",1.75,9.87
"UK","2022-09-01",2.25,10.096
"UK","2022-10-01",2.25,11.052
"UK","2022-11-01",3,10.672
"UK","2022-12-01",3.5,10.528
"UK","2023-01-01",3.5,10.052
"UK","2023-02-01",4,10.416
"UK","2023-03-01",4.25,10.057
"UK","2023-04-01",4.25,8.658
"UK","2023-05-01",4.5,8.681
"UK","2023-06-01",5,7.95
"UK","2023-07-01",5,6.827
"UK","2023-08-01",5.25,6.657
"UK","2023-09-01",5.25,6.652
"UK","2023-10-01",5.25,4.6
"UK","2023-11-01",5.25,3.941
"UK","2023-12-01",5.25,3.993
"UK","2024-01-01",5.25,3.981
"UK","2024-02-01",5.25,3.411
"UK","2024-03-01",5.25,3.228
"UK","2024-04-01",5.25,2.333
"UK","2024-05-01",5.25,1.99
"UK","2024-06-01",5.25,1.975
"UK","2024-07-01",5.25,2.234
"UK","2024-08-01",5,""
"US","2020-02-01",1.75,2.335
"US","2020-03-01",0.25,1.539
"US","2020-04-01",0.25,0.329
"US","2020-05-01",0.25,0.118
"US","2020-06-01",0.25,0.646
"US","2020-07-01",0.25,0.986
"US","2020-08-01",0.25,1.31
"US","2020-09-01",0.25,1.371
"US","2020-10-01",0.25,1.182
"US","2020-11-01",0.25,1.175
"US","2020-12-01",0.25,1.362
"US","2021-01-01",0.25,1.4
"US","2021-02-01",0.25,1.676
"US","2021-03-01",0.25,2.62
"US","2021-04-01",0.25,4.16
"US","2021-05-01",0.25,4.993
"US","2021-06-01",0.25,5.391
"US","2021-07-01",0.25,5.365
"US","2021-08-01",0.25,5.251
"US","2021-09-01",0.25,5.39
"US","2021-10-01",0.25,6.222
"US","2021-11-01",0.25,6.809
"US","2021-12-01",0.25,7.036
"US","2022-01-01",0.25,7.48
"US","2022-02-01",0.25,7.871
"US","2022-03-01",0.5,8.542
"US","2022-04-01",0.5,8.259
"US","2022-05-01",1,8.582
"US","2022-06-01",1.75,9.06
"US","2022-07-01",2.5,8.525
"US","2022-08-01",2.5,8.263
"US","2022-09-01",3.25,8.202
"US","2022-10-01",3.25,7.745
"US","2022-11-01",4,7.11
"US","2022-12-01",4.5,6.454
"US","2023-01-01",4.5,6.41
"US","2023-02-01",4.75,6.036
"US","2023-03-01",5,4.985
"US","2023-04-01",5,4.93
"US","2023-05-01",5.25,4.048
"US","2023-06-01",5.25,2.969
"US","2023-07-01",5.5,3.178
"US","2023-08-01",5.5,3.665
