﻿Title:,"Table 11 - Head of provider remuneration"
Subtitle:,"Academic years 2016/17 to 2021/22"
Reference ID:,DT031 Table 11
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2021/22 
,Head of provider,Head of provider at financial year end 
,Financial Year End,All 
Search:,


"","","","","","","(£000s)","","",""
"UKPRN","HE Provider","Financial Year End","Start date of service in head of provider role (YYYY-MM-DD)","End date of service in head of provider role (YYYY-MM-DD)","Total remuneration (before salary sacrifice)","Head of the provider's basic salary divided by the median pay (salary)","Head of the provider's total remuneration divided by the median total remuneration."
"10008071","AA School of Architecture","2022-07-31","20180701","","0","0.0","0.0"
"10007783","The University of Aberdeen","2022-07-31","20180801","","291","8.0","7.2"
"10007849","Abertay University","2022-07-31","20220501","","59","5.0","5.0"
"10007856","Aberystwyth University","2022-07-31","20170401","","271","6.9","7.9"
"10067853","ACM Guildford Limited","2021-08-31","20190513","","151","4.2","4.1"
"10000163","AECC University College","2022-07-31","20190103","","229","6.4","6.4"
"10032036","Amity Global Education","2022-03-31","20100901","","88","3.4","3.4"
"10000291","Anglia Ruskin University","2022-07-31","20181021","","349","7.0","7.1"
"10041898","Apex College","2021-12-31","20081201","","90","2.4","2.4"
"10062759","Applied Business Academy Limited","2021-12-31","20200101","20211231","30","1.0","1.0"
"10005451","Arden University","2021-10-31","20190411","","276","5.6","7.7"
"10000381","Arts Educational Schools","2021-08-31","20170601","","116","3.1","3.3"
"10003212","Hult International Business School Ltd","2022-07-31","20220601","","34","6.1","5.6"
"10007759","Aston University","2022-07-31","20211201","20220831","176","4.9","4.9"
"10038772","British Academy of Jewellery Limited","2022-06-30","20160125","","0","0.0","0.0"
"10007857","Bangor University","2022-07-31","20190901","","223","6.5","6.5"
"10000571","Bath Spa University","2022-07-31","20180122","","257","6.3","7.5"
"10007850","The University of Bath","2022-07-31","20190408","","329","8.0","7.3"
