﻿Title:,"Table 11 - Head of provider remuneration"
Subtitle:,"Academic years 2016/17 to 2021/22"
Reference ID:,DT031 Table 11
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
,Head of provider,Head of provider at financial year end 
,Financial Year End,All 
Search:,


"","","","","","","(£000s)","","",""
"UKPRN","HE Provider","Financial Year End","Start date of service in head of provider role (YYYY-MM-DD)","End date of service in head of provider role (YYYY-MM-DD)","Total remuneration (before salary sacrifice)","Head of the provider's basic salary divided by the median pay (salary)","Head of the provider's total remuneration divided by the median total remuneration."
"10008071","AA School of Architecture","2021-07-31","","","90","0.0","0.0"
"10007783","The University of Aberdeen","2021-07-31","","","263","7.8","6.5"
"10007849","Abertay University","2021-07-31","","","0","0.0","0.0"
"10007856","Aberystwyth University","2021-07-31","","","260","6.8","7.6"
"10067853","ACM Guildford Limited","2020-08-31","","","151","4.4","4.4"
"10000248","Academy of Live and Recorded Arts","2020-08-31","20090701","20201231","73","2.5","2.5"
"10000163","AECC University College","2021-07-31","","","147","5.8","5.8"
"10032036","Amity Global Education","2021-03-31","","","88","3.1","3.1"
"10000291","Anglia Ruskin University","2021-07-31","","","343","7.0","7.1"
"10041898","Apex College","2020-12-31","","","90","2.4","2.4"
"10062759","Applied Business Academy Limited","2020-12-31","","","0","0.0","0.0"
"10005451","Arden University","2020-10-31","","","270","6.6","7.8"
"10000381","Arts Educational Schools","2020-08-31","","","122","3.1","3.3"
"10003212","Hult International Business School Ltd","2020-09-30","20190301","","307","10.0","9.8"
"10003212","Hult International Business School Ltd","2021-07-31","","","0","0.0","0.0"
"10007759","Aston University","2021-07-31","","","0","0.0","0.0"
"10038772","British Academy of Jewellery Limited","2021-06-30","","","0","0.0","0.0"
"10007857","Bangor University","2021-07-31","","","220","6.2","6.2"
"10000571","Bath Spa University","2021-07-31","","","253","6.5","7.5"
"10007850","The University of Bath","2021-07-31","","","324","7.8","7.4"
"10036456","Backstage Academy (Training) Ltd","2020-12-31","","","81","2.3","2.3"
"10000911","BCNO Limited","2020-08-31","","","72","2.0","2.2"
"10007152","University of Bedfordshire","2021-07-31","","","255","7.6","7.6"
"10005343","Queen's University Belfast","2021-07-31","","","327","8.1","6.8"
"10037544","BIMM University","2020-08-31","","","258","10.4","11.9"
"10007760","Birkbeck College","2021-07-31","","","386","9.0","8.3"
"10007140","Birmingham City University","2021-07-31","","","286","6.6","7.2"
"10006840","The University of Birmingham","2021-07-31","","","0","0.0","0.0"
"10000712","University College Birmingham","2021-07-31","","","242","6.5","6.5"
"10000894","Bristol Baptist College","2021-06-30","","","53","1.3","1.5"
"10007811","Bishop Grosseteste University","2021-07-31","","","257","7.5","8.2"
"10004061","Bloomsbury Institute","2021-07-31","","","272","4.9","4.9"
"10006841","The University of Bolton","2021-07-31","","","323","7.0","7.1"
"10000385","The Arts University Bournemouth","2021-07-31","","","275","7.1","7.2"
"10000824","Bournemouth University","2021-07-31","","","343","7.5","7.8"
"10031982","BPP University","2020-08-31","","","373","4.9","7.1"
"10007785","The University of Bradford","2021-07-31","","","235","7.4","7.4"
"10000886","The University of Brighton","2021-07-31","","","232","7.3","6.9"
"10000936","The University College of Osteopathy","2021-07-31","","","135","3.4","3.4"
"10007786","The University of Bristol","2021-07-31","","","0","0.0","0.0"
